            sIP|            dIP|sPort|dPort|pro|   packets|     bytes|   flags|                  sTime| duration|                  eTime|sensor|
   204.42.253.2|   131.247.67.1|43775|   53| 17|         1|        75|        |2016/04/06T00:02:31.082|    0.000|2016/04/06T00:02:31.082|Health|
  178.135.80.93|  131.247.67.45|22169|   25|  6|         7|       418|        |2016/04/06T00:03:12.235|    1.280|2016/04/06T00:03:13.515|Health|
 88.150.206.225|  131.247.67.75| 5066| 5060| 17|         1|       442|        |2016/04/06T00:04:48.307|    0.000|2016/04/06T00:04:48.307|Health|
 88.150.206.225| 131.247.67.171| 5066| 5060| 17|         1|       444|        |2016/04/06T00:04:48.623|    0.000|2016/04/06T00:04:48.623|Health|
 88.150.206.225|   131.247.67.6| 5066| 5060| 17|         1|       443|        |2016/04/06T00:04:48.105|    0.000|2016/04/06T00:04:48.105|Health|
 88.150.206.225|   131.247.59.3| 5066| 5060| 17|         1|       443|        |2016/04/06T00:04:41.787|    0.000|2016/04/06T00:04:41.787|Health|
 88.150.206.225|  131.247.67.73| 5066| 5060| 17|         1|       445|        |2016/04/06T00:04:48.235|    0.000|2016/04/06T00:04:48.235|Health|
 88.150.206.225|  131.247.59.27| 5066| 5060| 17|         1|       444|        |2016/04/06T00:04:41.911|    0.000|2016/04/06T00:04:41.911|Health|
 88.150.206.225|  131.247.65.37| 5066| 5060| 17|         1|       445|        |2016/04/06T00:04:46.583|    0.000|2016/04/06T00:04:46.583|Health|
 88.150.206.225|  131.247.65.38| 5066| 5060| 17|         1|       444|        |2016/04/06T00:04:46.583|    0.000|2016/04/06T00:04:46.583|Health|
 88.150.206.225|  131.247.65.44| 5066| 5060| 17|         1|       444|        |2016/04/06T00:04:46.611|    0.000|2016/04/06T00:04:46.611|Health|
 88.150.206.225|   131.247.63.5| 5066| 5060| 17|         2|       886|        |2016/04/06T00:04:44.827|    4.004|2016/04/06T00:04:48.831|Health|
 88.150.206.225|   131.247.66.4| 5066| 5060| 17|         1|       443|        |2016/04/06T00:04:47.343|    0.000|2016/04/06T00:04:47.343|Health|
 88.150.206.225|   131.247.66.6| 5066| 5060| 17|         1|       443|        |2016/04/06T00:04:47.347|    0.000|2016/04/06T00:04:47.347|Health|
 88.150.206.225|   131.247.66.8| 5066| 5060| 17|         1|       444|        |2016/04/06T00:04:47.351|    0.000|2016/04/06T00:04:47.351|Health|
 88.150.206.225|  131.247.67.36| 5066| 5060| 17|         1|       444|        |2016/04/06T00:04:48.207|    0.000|2016/04/06T00:04:48.207|Health|
 88.150.206.225|  131.247.67.37| 5066| 5060| 17|         1|       444|        |2016/04/06T00:04:48.207|    0.000|2016/04/06T00:04:48.207|Health|
 88.150.206.225| 131.247.67.118| 5066| 5060| 17|         1|       445|        |2016/04/06T00:04:48.387|    0.000|2016/04/06T00:04:48.387|Health|
 88.150.206.225| 131.247.67.164| 5066| 5060| 17|         1|       444|        |2016/04/06T00:04:48.567|    0.000|2016/04/06T00:04:48.567|Health|
 88.150.206.225| 131.247.65.140| 5066| 5060| 17|         2|       886|        |2016/04/06T00:04:46.947|    4.000|2016/04/06T00:04:50.947|Health|
 88.150.206.225| 131.247.67.212| 5066| 5060| 17|         2|       888|        |2016/04/06T00:04:48.719|    4.000|2016/04/06T00:04:52.719|Health|
 88.150.206.225| 131.247.67.171| 5066| 5060| 17|         1|       444|        |2016/04/06T00:04:52.631|    0.000|2016/04/06T00:04:52.631|Health|
  178.135.80.93|  131.247.67.45|23326|   25|  6|         5|       320|        |2016/04/06T00:06:34.662|    0.896|2016/04/06T00:06:35.558|Health|
 89.248.171.160|  131.247.67.45|59075|   25|  6|        11|       651|        |2016/04/06T00:09:26.114|    0.896|2016/04/06T00:09:27.010|Health|
113.176.124.225|  131.247.67.45|52263|   25|  6|         5|       308|        |2016/04/06T00:10:06.495|    1.216|2016/04/06T00:10:07.711|Health|
 216.12.249.195|   131.247.67.1|32753|   53| 17|         1|        87|        |2016/04/06T00:13:04.687|    0.000|2016/04/06T00:13:04.687|Health|
  113.161.7.137|  131.247.67.45|60843|   25|  6|         5|       317|        |2016/04/06T00:15:30.517|    1.088|2016/04/06T00:15:31.605|Health|
 216.12.249.195|   131.247.67.1|25786|   53| 17|         1|        85|        |2016/04/06T00:17:16.697|    0.000|2016/04/06T00:17:16.697|Health|
    117.6.84.73|  131.247.67.45|16322|   25|  6|         6|       359|        |2016/04/06T00:23:25.396|    1.536|2016/04/06T00:23:26.932|Health|
    14.181.7.70|  131.247.67.45|12452|   25|  6|        11|      1055|        |2016/04/06T00:23:36.533|    2.304|2016/04/06T00:23:38.837|Health|
 89.248.171.160|  131.247.67.45|25165|   25|  6|        10|       607|        |2016/04/06T00:28:54.862|    1.088|2016/04/06T00:28:55.950|Health|
  113.160.133.8|  131.247.67.45|18574|   25|  6|         6|       369|        |2016/04/06T00:29:56.033|    1.664|2016/04/06T00:29:57.697|Health|
  212.156.86.78|  131.247.67.45|29334|   25|  6|         5|       344|        |2016/04/06T00:31:46.954|    0.768|2016/04/06T00:31:47.722|Health|
 216.12.249.195|   131.247.67.1|41839|   53| 17|         1|        80|        |2016/04/06T00:32:13.185|    0.000|2016/04/06T00:32:13.185|Health|
 216.12.249.195|   131.247.67.1|41023|   53| 17|         1|        80|        |2016/04/06T00:32:13.184|    0.000|2016/04/06T00:32:13.184|Health|
  115.78.226.93|  131.247.67.45|11967|   25|  6|         6|       363|        |2016/04/06T00:33:26.012|    1.408|2016/04/06T00:33:27.420|Health|
 174.36.238.146|   131.247.66.4| 5300| 5060| 17|         1|       441|        |2016/04/06T00:33:48.573|    0.000|2016/04/06T00:33:48.573|Health|
 174.36.238.146|   131.247.66.6| 5300| 5060| 17|         1|       443|        |2016/04/06T00:33:48.581|    0.000|2016/04/06T00:33:48.581|Health|
 174.36.238.146|   131.247.66.8| 5300| 5060| 17|         1|       441|        |2016/04/06T00:33:48.593|    0.000|2016/04/06T00:33:48.593|Health|
 174.36.238.146|   131.247.67.6| 5300| 5060| 17|         1|       442|        |2016/04/06T00:33:49.820|    0.000|2016/04/06T00:33:49.820|Health|
 174.36.238.146|  131.247.67.73| 5300| 5060| 17|         1|       444|        |2016/04/06T00:33:50.206|    0.000|2016/04/06T00:33:50.206|Health|
 174.36.238.146|   131.247.59.3| 5300| 5060| 17|         2|       886|        |2016/04/06T00:33:39.045|    4.000|2016/04/06T00:33:43.045|Health|
 174.36.238.146|   131.247.63.5| 5300| 5060| 17|         1|       443|        |2016/04/06T00:33:44.501|    0.000|2016/04/06T00:33:44.501|Health|
 174.36.238.146|  131.247.59.27| 5300| 5060| 17|         2|       888|        |2016/04/06T00:33:39.173|    4.004|2016/04/06T00:33:43.177|Health|
 174.36.238.146|  131.247.65.37| 5300| 5060| 17|         1|       444|        |2016/04/06T00:33:47.385|    0.000|2016/04/06T00:33:47.385|Health|
 174.36.238.146|  131.247.65.44| 5300| 5060| 17|         1|       440|        |2016/04/06T00:33:47.425|    0.000|2016/04/06T00:33:47.425|Health|
 174.36.238.146|  131.247.65.38| 5300| 5060| 17|         2|       888|        |2016/04/06T00:33:47.393|    4.000|2016/04/06T00:33:51.393|Health|
 174.36.238.146|  131.247.67.75| 5300| 5060| 17|         1|       442|        |2016/04/06T00:33:50.309|    0.000|2016/04/06T00:33:50.309|Health|
 174.36.238.146| 131.247.67.118| 5300| 5060| 17|         1|       445|        |2016/04/06T00:33:50.553|    0.000|2016/04/06T00:33:50.553|Health|
 174.36.238.146| 131.247.67.164| 5300| 5060| 17|         1|       445|        |2016/04/06T00:33:50.801|    0.000|2016/04/06T00:33:50.801|Health|
 174.36.238.146| 131.247.65.140| 5300| 5060| 17|         2|       890|        |2016/04/06T00:33:47.933|    4.004|2016/04/06T00:33:51.937|Health|
 174.36.238.146|   131.247.66.4| 5300| 5060| 17|         1|       441|        |2016/04/06T00:33:52.573|    0.000|2016/04/06T00:33:52.573|Health|
 174.36.238.146|   131.247.66.6| 5300| 5060| 17|         1|       443|        |2016/04/06T00:33:52.585|    0.000|2016/04/06T00:33:52.585|Health|
 174.36.238.146|   131.247.66.8| 5300| 5060| 17|         1|       441|        |2016/04/06T00:33:52.593|    0.000|2016/04/06T00:33:52.593|Health|
 174.36.238.146|  131.247.67.36| 5300| 5060| 17|         2|       890|        |2016/04/06T00:33:50.105|    4.000|2016/04/06T00:33:54.105|Health|
 174.36.238.146|  131.247.67.37| 5300| 5060| 17|         2|       888|        |2016/04/06T00:33:50.109|    4.000|2016/04/06T00:33:54.109|Health|
 174.36.238.146| 131.247.67.171| 5300| 5060| 17|         2|       884|        |2016/04/06T00:33:50.821|    4.016|2016/04/06T00:33:54.837|Health|
 174.36.238.146| 131.247.67.212| 5300| 5060| 17|         2|       886|        |2016/04/06T00:33:51.037|    4.000|2016/04/06T00:33:55.037|Health|
203.210.197.222|  131.247.67.45|13530|   25|  6|         6|       371|        |2016/04/06T00:34:11.197|    1.472|2016/04/06T00:34:12.669|Health|
 113.160.156.98|  131.247.67.45|12724|   25|  6|         6|       366|        |2016/04/06T00:39:44.830|    1.280|2016/04/06T00:39:46.110|Health|
   113.20.119.2|  131.247.67.45|64771|   25|  6|         5|       329|        |2016/04/06T00:40:22.207|    2.240|2016/04/06T00:40:24.447|Health|
  212.154.50.66|  131.247.67.45|19875|   25|  6|         6|       370|        |2016/04/06T00:44:00.509|    1.472|2016/04/06T00:44:01.981|Health|
  14.172.165.47|  131.247.67.45|11883|   25|  6|         6|       364|        |2016/04/06T00:44:08.058|    1.472|2016/04/06T00:44:09.530|Health|
113.184.169.216|  131.247.67.45|21558|   25|  6|         6|       359|        |2016/04/06T00:45:41.179|    1.280|2016/04/06T00:45:42.459|Health|
