            sIP|            dIP|sPort|dPort|pro|   packets|     bytes|   flags|                  sTime| duration|                  eTime|sensor|
  131.247.67.73| 88.150.206.225|    0|  771|  1|         1|       176|        |2016/04/06T00:04:48.298|    0.000|2016/04/06T00:04:48.298|Health|
   131.247.67.6| 88.150.206.225|    0|  771|  1|         1|       471|        |2016/04/06T00:04:48.106|    0.000|2016/04/06T00:04:48.106|Health|
  131.247.67.45| 89.248.171.160|   25|59075|  6|        11|       991|        |2016/04/06T00:09:26.093|    0.960|2016/04/06T00:09:27.053|Health|
  131.247.67.45|  89.163.220.14|   25|49220|  6|         9|       876|        |2016/04/06T00:10:06.990|    2.432|2016/04/06T00:10:09.422|Health|
  131.247.67.45|  209.85.218.42|   25|34444|  6|        17|      7821|        |2016/04/06T00:12:14.343|    0.448|2016/04/06T00:12:14.791|Health|
   131.247.67.1|  180.76.15.149|   53|54920| 17|         1|        82|        |2016/04/06T00:12:49.609|    0.000|2016/04/06T00:12:49.609|Health|
  131.247.67.45| 132.255.26.186|   25|38527|  6|         9|       890|        |2016/04/06T00:16:52.605|    2.496|2016/04/06T00:16:55.101|Health|
  131.247.67.45|   84.46.169.97|   25|57955|  6|         9|       882|        |2016/04/06T00:21:47.762|    1.600|2016/04/06T00:21:49.362|Health|
   131.247.67.1| 192.154.198.19|   53|57599| 17|         1|      1218|        |2016/04/06T00:25:22.218|    0.000|2016/04/06T00:25:22.218|Health|
   131.247.67.6|   198.20.69.74| 2086|34680|  6|         1|        46|        |2016/04/06T00:25:58.402|    0.000|2016/04/06T00:25:58.402|Health|
  131.247.67.45| 89.248.171.160|   25|25165|  6|        11|       991|        |2016/04/06T00:28:54.883|    1.024|2016/04/06T00:28:55.907|Health|
   131.247.67.6| 174.36.238.146|    0|  771|  1|         1|       470|        |2016/04/06T00:33:49.822|    0.000|2016/04/06T00:33:49.822|Health|
  131.247.67.73| 174.36.238.146|    0|  771|  1|         1|       176|        |2016/04/06T00:33:50.205|    0.000|2016/04/06T00:33:50.205|Health|
   131.247.67.6| 184.105.139.96|11211|55857|  6|         1|        46|        |2016/04/06T00:37:41.120|    0.000|2016/04/06T00:37:41.120|Health|
  131.247.67.45|  139.255.41.35|   25|24590|  6|         2|       161|        |2016/04/06T00:43:27.244|    0.512|2016/04/06T00:43:27.756|Health|
  131.247.67.45|  139.255.41.35|   25|24590|  6|         2|       151|        |2016/04/06T00:43:37.869|    0.000|2016/04/06T00:43:37.869|Health|
   131.247.67.1|  180.76.15.152|   53|51579| 17|         1|        88|        |2016/04/06T00:44:50.993|    0.000|2016/04/06T00:44:50.993|Health|
  131.247.67.45| 89.248.171.160|   25|55674|  6|        11|       991|        |2016/04/06T00:48:17.203|    0.896|2016/04/06T00:48:18.099|Health|
   131.247.67.1|   180.76.15.26|   53|18151| 17|         1|       138|        |2016/04/06T00:50:54.445|    0.000|2016/04/06T00:50:54.445|Health|
  131.247.67.73|    71.6.216.53|    0|  771|  1|         1|        59|        |2016/04/06T00:53:42.572|    0.000|2016/04/06T00:53:42.572|Health|
   131.247.67.6| 169.54.233.121| 8443|51543|  6|         1|        46|        |2016/04/06T00:56:59.308|    0.000|2016/04/06T00:56:59.308|Health|
  131.247.67.73| 169.54.233.121| 8443|51543|  6|         1|        46|        |2016/04/06T00:57:03.338|    0.000|2016/04/06T00:57:03.338|Health|
  10.119.120.33|167.114.237.176|   80|45144|  6|         1|        52|        |2016/04/06T00:00:17.265|    0.000|2016/04/06T00:00:17.265|Health|
  10.119.120.33|167.114.237.176|   80|45144|  6|         1|        46|        |2016/04/06T00:00:29.042|    0.000|2016/04/06T00:00:29.042|Health|
  10.119.120.33|   180.76.15.28|   80|13389|  6|       369|    541848|        |2016/04/06T00:02:38.762|    8.064|2016/04/06T00:02:46.826|Health|
  10.119.120.33|   180.76.15.29|   80|25188|  6|        49|     62068|        |2016/04/06T00:04:09.065|    1.216|2016/04/06T00:04:10.281|Health|
