            sIP|            dIP|sPort|dPort|pro|   packets|     bytes|   flags|                  sTime| duration|                  eTime|sensor|
    172.25.1.20|        1.1.1.1|    0| 2048|  1|         1|        60|        |2016/04/06T00:00:00.115|    0.000|2016/04/06T00:00:00.115|Health|
  10.119.38.154|        8.8.8.8|    0| 2048|  1|         1|        60|        |2016/04/06T00:00:00.243|    0.000|2016/04/06T00:00:00.243|Health|
   10.119.34.32|    192.168.1.1|53159|  139|  6|         1|        64|        |2016/04/06T00:00:23.024|    0.000|2016/04/06T00:00:23.024|Health|
   131.247.63.6|        8.8.8.8|62607|   53| 17|         1|        82|        |2016/04/06T00:00:23.538|    0.000|2016/04/06T00:00:23.538|Health|
   10.119.34.32|    192.168.1.1|53158|  445|  6|         1|        64|        |2016/04/06T00:00:23.025|    0.000|2016/04/06T00:00:23.025|Health|
   172.17.1.193|        8.8.8.8|49513|   53| 17|         1|        60|        |2016/04/06T00:00:28.301|    0.000|2016/04/06T00:00:28.301|Health|
   10.119.53.87|        8.8.8.8|65066|   53| 17|         2|       148|        |2016/04/06T00:00:35.239|    1.152|2016/04/06T00:00:36.391|Health|
   172.17.7.168|        8.8.8.8|44352|   53| 17|         1|        60|        |2016/04/06T00:00:43.660|    0.000|2016/04/06T00:00:43.660|Health|
  131.247.65.11|        8.8.8.8|56263|   53| 17|         2|       144|        |2016/04/06T00:00:45.296|    0.000|2016/04/06T00:00:45.296|Health|
   10.119.34.27|        8.8.8.8|    0| 2048|  1|        10|       840|        |2016/04/06T00:00:49.063|    9.024|2016/04/06T00:00:58.087|Health|
  131.247.65.11|        8.8.8.8|58354|   53| 17|         1|        64|        |2016/04/06T00:00:52.465|    0.000|2016/04/06T00:00:52.465|Health|
  131.247.65.11|        8.8.8.8|54773|   53| 17|         1|        64|        |2016/04/06T00:00:52.595|    0.000|2016/04/06T00:00:52.595|Health|
  10.119.38.154|        8.8.8.8|    0| 2048|  1|         1|        60|        |2016/04/06T00:01:00.977|    0.000|2016/04/06T00:01:00.977|Health|
     172.18.3.9|    192.168.0.1|33931|   53| 17|         1|       120|        |2016/04/06T00:01:15.470|    0.000|2016/04/06T00:01:15.470|Health|
   131.247.63.6|        8.8.8.8|57213|   53| 17|         1|        81|        |2016/04/06T00:01:17.094|    0.000|2016/04/06T00:01:17.094|Health|
     172.18.3.9|    192.168.0.1|56554|   53| 17|         1|       120|        |2016/04/06T00:01:19.437|    0.000|2016/04/06T00:01:19.437|Health|
     172.18.3.9|    192.168.0.1|40684|   53| 17|         1|       120|        |2016/04/06T00:01:23.471|    0.000|2016/04/06T00:01:23.471|Health|
     172.18.3.9|    192.168.0.1|33599|   53| 17|         1|       120|        |2016/04/06T00:01:27.438|    0.000|2016/04/06T00:01:27.438|Health|
   172.17.1.193|        8.8.8.8|59223|   53| 17|         1|        60|        |2016/04/06T00:01:28.652|    0.000|2016/04/06T00:01:28.652|Health|
     172.18.3.9|    192.168.0.1|50963|   53| 17|         1|        67|        |2016/04/06T00:01:37.484|    0.000|2016/04/06T00:01:37.484|Health|
     172.18.3.9|    192.168.0.1|40768|   53| 17|         1|       155|        |2016/04/06T00:01:41.453|    0.000|2016/04/06T00:01:41.453|Health|
   131.247.63.6|        8.8.8.8|54946|   53| 17|         1|        86|        |2016/04/06T00:01:41.156|    0.000|2016/04/06T00:01:41.156|Health|
   10.119.53.87|        8.8.8.8|63270|   53| 17|         2|       148|        |2016/04/06T00:01:43.443|    1.152|2016/04/06T00:01:44.595|Health|
